#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.0.0                                  
#                  Branch is bug-fixes                                
#             MPI+OpenMP+HDF5_MPI_IO Build                            
#               http://www.lumen-code.org                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : Fan + DW
# [ph] dS/dw steps                                :  2
# [ph] dS/dw step                                 :  0.100000001    [ev]
# [ph] Sc/G damping                               :  0.100000001    [ev]
# El-Ph correlation                               : yes
# El-Ph Sc. G bands                               :   1  20
# El-Ph phonon branches                           :   1   9
# El-Ph momenta used                              :   7
# Energy treshold                                 :  0.999999997E-6 [FAN]
# Energy treshold                                 :  0.999999997E-6 [DW]
#                                                 
# QP @ state[ 1 ] K range                         :   1   7
# QP @ state[ 1 ] b range                         :   9  18
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#                                                 
# [ELPH] Phonon modes                             :   9
# [ELPH] Q points                                 :   7 [avail]
# [ELPH] K points                                 :   36
# [ELPH] El-PH bands                              :  200
# [ELPH] Using the Q-grid                         : yes
# [ELPH] Bare interaction                         : no
# [ELPH] PH double-grid                           : no
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#
#
#    Eo [eV]            DeltaE [eV]        Width [meV]
#
     2.36279578       -0.823250529E-1     -122.998949   
     2.36279578       -0.823250529E-1     -122.998949   
     2.39787883       -0.108563539E-1     -84.5970084   
     2.39787883       -0.108563539E-1     -84.5970084   
     2.39787883       -0.108563539E-1     -84.5970084   
     2.39787883       -0.108563539E-1     -84.5970084   
     2.39787883       -0.108563539E-1     -84.5970084   
     2.39787883       -0.108563539E-1     -84.5970084   
     2.40434706        0.351876594E-2     -41.7492704   
     2.40434706        0.351876594E-2     -41.7492704   
     2.40434706        0.351876594E-2     -41.7492704   
     2.59497980       -0.258575368E-2     -52.3236945   
     2.59497980       -0.258575368E-2     -52.3236945   
     2.59497980       -0.258575368E-2     -52.3236945   
     2.59497980       -0.258575368E-2     -52.3236945   
     2.59497980       -0.258575368E-2     -52.3236945   
     2.59497980       -0.258575368E-2     -52.3236945   
     2.68179596       -0.578806181E-1     -100.110023   
     2.68179596       -0.578806181E-1     -100.110023   
     2.68179596       -0.578806181E-1     -100.110023   
     2.68179596       -0.578806181E-1     -100.110023   
     2.68179596       -0.578806181E-1     -100.110023   
     2.68179596       -0.578806181E-1     -100.110023   
     2.75576972       -0.818544919E-2     -93.9108802   
     2.75576972       -0.818544919E-2     -93.9108802   
     2.75576972       -0.818544919E-2     -93.9108802   
     2.75576972       -0.818544919E-2     -93.9108802   
     2.75576972       -0.818544919E-2     -93.9108802   
     2.75576972       -0.818544919E-2     -93.9108802   
     2.75895011       -0.142254973E-1     -109.089372   
     2.75895011       -0.142254973E-1     -109.089372   
     2.75895011       -0.142254973E-1     -109.089372   
     2.75895011       -0.142254973E-1     -109.089372   
     2.75895011       -0.142254973E-1     -109.089372   
     2.75895011       -0.142254973E-1     -109.089372   
     2.89475631        0.217477820E-1     -92.7650663   
     2.89475996        0.217477820E-1     -92.7650663   
     2.91146903        0.210722503E-1     -30.1286256   
     2.91146903        0.210722503E-1     -30.1286256   
     2.91146903        0.210722503E-1     -30.1286256   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     2.95800915        0.184688582E-1     -30.7932315   
     3.05289925        0.171828745E-1     -36.4713623   
     3.05289925        0.171828745E-1     -36.4713623   
     3.16872699        0.226522078E-2     -29.7076062   
     3.16872922        0.226522078E-2     -29.7076062   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.41142939       -0.444283735E-1     -81.8815261   
     3.50419133        0.493734196E-1     -137.048201   
     3.50419133        0.493734196E-1     -137.048201   
     3.50419133        0.493734196E-1     -137.048201   
     3.50419133        0.493734196E-1     -137.048201   
     3.50419133        0.493734196E-1     -137.048201   
     3.50419133        0.493734196E-1     -137.048201   
     3.51401127        0.364069414E-1     -138.179557   
     3.51401127        0.364069414E-1     -138.179557   
     3.51401127        0.364069414E-1     -138.179557   
     3.51401127        0.364069414E-1     -138.179557   
     3.51401127        0.364069414E-1     -138.179557   
     3.51401127        0.364069414E-1     -138.179557   
     3.71367346        0.219641062E-1     -24.7782947   
     3.71367346        0.219641062E-1     -24.7782947   
     3.94994331        0.237397084E-1     -35.8821727   
     3.94994331        0.237397084E-1     -35.8821727   
     3.94994331        0.237397084E-1     -35.8821727   
     4.26195623       -0.147076145E-1     -28.4663332   
     4.26195623       -0.147076145E-1     -28.4663332   
     4.26195623       -0.147076145E-1     -28.4663332   
     4.26195623       -0.147076145E-1     -28.4663332   
     4.26195623       -0.147076145E-1     -28.4663332   
     4.26195623       -0.147076145E-1     -28.4663332   
     4.35068120       -0.851429445E-2     -38.8359988   
     4.35068120       -0.851429445E-2     -38.8359988   
